Order,PO,Call #,Color,Interior Color,Handing,Options 1,Options 2,Options 3,Jamb,Misc.
4,CUDH-NG 2.0 ASSEMBLY,CN2824,Ebony Clad ,Bare pine interior ,NA,7/8sdl- w/spacerbar-blk/perimeter spacerbar,rectangular standard cut 3w2h,Low E2 w/Argon,4 9/16 jambs,Nailing fin
4a,CUDH-NG 2.0 SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,CUDH-NG 2.0 ASSEMBLY,CN2624,Ebony Clad ,Bare pine interior ,NA,7/8sdl- w/spacerbar-blk/perimeter spacerbar,rectangular standard cut 3w2h,Low E2 w/Argon,4 9/16 jambs,Nailing fin
5a,CUDH-NG 2.0 SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,CUDH-NG 2.0 ASSEMBLY,CN2824,Ebony Clad ,Bare pine interior ,NA,7/8sdl- w/spacerbar-blk/perimeter spacerbar,rectangular standard cut 3w2h,Low E2 w/Argon,4 9/16 jambs,Nailing fin
6a,CUDH-NG 2.0 SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,CUDH-NG 2.0 ASSEMBLY,CN2824,Ebony Clad ,Bare pine interior ,NA,7/8sdl- w/spacerbar-blk/perimeter spacerbar,rectangular standard cut 3w2h,Low E2 w/Argon,4 9/16 jambs,Nailing fin
7a,CUDH-NG 2.0 SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,CUDH-NG 2.0 ASSEMBLY,CN3226,Ebony Clad ,Bare pine interior ,NA,7/8sdl- w/spacerbar-blk/perimeter spacerbar,rectangular standard cut 3w2h,Low E2 w/Argon,4 9/16 jambs,Nailing fin
8a,CUDH-NG 2.0 SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,CUDH-NG 2.0 ASSEMBLY,CN3226,Ebony Clad ,Bare pine interior ,NA,7/8sdl- w/spacerbar-blk/perimeter spacerbar,rectangular special cut 3w2h,Low E2 w/Argon,4 9/16 jambs,Nailing fin
10a,CUDH-NG 2.0 SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,CUDH-NG 2.0 ASSEMBLY,CN3226,Ebony Clad ,Bare pine interior ,NA,7/8sdl- w/spacerbar-blk/perimeter spacerbar,rectangular special cut 3w2h,Low E2 w/Argon,4 9/16 jambs,Nailing fin
11a,CUDH-NG 2.0 SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,CUDH-NG 2.0 ASSEMBLY,CN2624,Ebony Clad ,Bare pine interior ,NA,7/8sdl- w/spacerbar-blk/perimeter spacerbar,rectangular standard cut 3w2h,Low E2 w/Argon,4 9/16 jambs,Nailing fin
13a,CUDH-NG 2.0 SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,CUDH-NG 2.0 ASSEMBLY,CN3216,Ebony Clad ,Bare pine interior ,NA,7/8sdl- w/spacerbar-blk/perimeter spacerbar,rectangular standard cut 4w2h,Low E2 w/Argon,4 9/16 jambs,Nailing fin
,,,,,,,,,,
17,CUDH-NG 2.0 ASSEMBLY,CN3216,Ebony Clad ,Bare pine interior ,NA,7/8sdl- w/spacerbar-blk/perimeter spacerbar,rectangular standard cut 3w2h,Low E2 w/Argon,4 9/16 jambs,Nailing fin
17a,CUDH-NG 2.0 SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZJ01235,2147,,,,,,,,,
2,ULT REPL CSMT ASSY,NA,Stone white clad,White Pine ,NA,Stainless perimeter bar,NA,Tempered Low E2 w/Argon,2 3/16 jambs ,NA
2,ULT REPL CSMT ASSY,NA,Stone white clad,White Pine ,NA,Stainless perimeter bar,NA,Tempered Low E2 w/Argon,2 3/16 jambs ,NA
2,ULT REPL CSMT ASSY,NA,Stone white clad,White Pine ,NA,Stainless perimeter bar,NA,Tempered Low E2 w/Argon,2 3/16 jambs ,NA
AZJ01236,2147,,,,,,,,,
4,ELCA NARROW FRAME ASSY,NA,STONE WHITE ,WHITE INTERIOR,LEFT HAND,Stainless Perimeter Bar,White Folding Handle,Low E2 w/Argon,"3 1/4"" Jambs",NA
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
AZJ01151,2661,,,,,,,,,
,,,,,,,,,,
30,ULT AWNING ,CN4028,Stone white clad,Pine interior ,NA,black perimeter bar,NA,Storm plus low E2 w/Argon,4 9/16 Jambs,AL Nailing fin
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
AZJ01540,2829AO,,,,,,,,,
1,ELEVATE RECT POLY ASSY,na,Gun metal ,bare pine interior,na,Stainless Perimeter and Spacer Bar,Rectangular - Special Cut 2W2H,Low E2 w/Argon,"6 11/16"" Jambs",Nailing Fin DH/GL/DR Frame
1,ELEVATE RECT POLY ASSY,na,Gun metal ,bare pine interior,na,Stainless Perimeter and Spacer Bar,Rectangular - Special Cut 2W2H,Low E2 w/Argon,"6 11/16"" Jambs",Nailing Fin DH/GL/DR Frame
AZJ01375,2829,,,,,,,,,
